,size,Group,Verse text
L 9:23,1,Evangelia,"A řekl ke všem: „Chce-li kdo za mnou přijíti, zapři sebe sám a vezmi kříž svůj každodenně a následuj mne."
Mk 12:30,1,Evangelia,a milovati budeš Pána Boha svého z celého srdce svého a z celé duše své a ze vší mysli své a ze vší síly své. To jest první přikázání.
2K 1:2/Fp 1:2/2Te 1:2/1K 1:3/Ef 1:2/Ga 1:3,1,Nový zákon,"Milost vám a pokoj od Boha, našeho Otce, a Pána Ježíše Krista, "
Zj 14:13,1,Nový zákon,"I slyšel sem hlas z Nebe řvoucí ke mně: Piš: Blahoslavení mrtví, kteříž v pánu umírají. Již od této chvíle praví Duch, aby odpočinuli od prácí svých: nebo skutkové jejich následují jich."
J 16:16,1,Evangelia,"„Maličko, a již neuzříte mne, a opět maličko, a uzříte mě, poněvadž jdu k Otci.“"
R 13:1,1,Nový zákon,"Každá duše vrchnostem poddána buď. Neboť není vrchnosti, jediné od Boha, a kteréž vrchnosti jsou, od Boha zřízené jsou."
1K 13:2,1,Nový zákon,"A bychť měl proroctví, a povědom byl všelikého tajemství i všelikého umění, a kdybych měl tak velikou víru, že bych hory přenášel, lásky pak kdybych neměl, nic nejsem."
L 11:17,1,Evangelia,"Ale on znaje myšlení jejich řekl jim: „Každé království proti sobě rozdělené zpustne, a dům na dům padne."
1K 3:11,1,Nový zákon,"Nebo základu jiného žádný položiti nemůž, mimo ten, kterýž položen jest, jenž jest Ježíš Kristus."
Ga 2:20,1,Nový zákon,"S Kristem ukřižován jsem. Živť jsem pak již ne já, ale živ jest ve mně Kristus. Že pak nyní živ jsem v těle, u víře Syna Božího živ jsem, kterýž zamiloval mne, a vydal sebe samého za mne."
Mk 16:17,1,Evangelia,"Těch pak, kteří uvěří, budou následovati tyto zázraky: Ve jménu mém budou zlé duchy vymítati, novými jazyky mluviti,"
Mt 18:35,1,Evangelia,"Takť i Otec můj nebeský učiní vám, jestliže neodpustíte jeden každý bratru svému z srdcí svých provinění jejich."
L 24:26,1,Evangelia,"Zdaliž nemusil těch věcí trpěti Kristus, a tak vjíti do slávy své?"
Mt 11:29,1,Evangelia,"Vezměte jho mé na sebe a učte se ode mne, neboť jsem tichý a pokorný srdcem; a naleznete pokoj duším svým;"
Mk 10:23,1,Evangelia,"A pohleděv vůkol Ježíš, dí učedlníkům svým: Jak nesnadně ti, kteříž statky mají, vejdou do království Božího."
Mt 11:3,1,Evangelia,"Řekl jemu: Ty-li jsi ten, kterýž přijíti má, čili jiného čekati máme?"
J 1:29,1,Evangelia,"Druhého dne Jan uzřel Ježíše, an jde k němu; i řekl: „Ejhle Beránek Boží, který snímá hříchy světa."
Mk 15:34,1,Evangelia,"a v hodinu devátou Ježíš zvolal hlasem velikým: „Eloi, Eloi, lamma sabaktani?“ to jest v překladě: „Bože můj, Bože můj, proč jsi mě opustil?“"
Mt 27:46,1,Evangelia,"Kolem tří hodin vzkřikl Ježíš hlasitě: „Eli, Eli, lema sabachthani?“, to jest „Můj Bože, můj Bože, proč jsi mě opustil?“"
Mt 18:7,1,Evangelia,"Běda světu pro pohoršení. Ačkoli musí býti, aby přicházela pohoršení, ale však běda člověku, skrze něhož přichází pohoršení."
L 10:16,1,Evangelia,"Kdož vás slyší, mne slyší; a kdo vámi pohrdá, mnou pohrdá; kdož pak mnou pohrdá, pohrdáť tím, kdož mne poslal."
J 17:5,1,Evangelia,"A nyní oslaviž ty mne, Otče, u sebe samého touž slavou, kterouž jsem měl u tebe, prvé nežli svět byl."
1K 15:20,1,Nový zákon,"Ale Kristus vstal z mrtvých, jako první ze zesnulých. "
Mt 19:12,1,Evangelia,"Jsouť zajisté panicové, kteříž se tak z života matky zrodili; a jsouť panicové, kteříž učiněni jsou od lidí; a jsouť panicové, kteříž se sami v panictví oddali pro království nebeské. Kdo může pochopiti, pochop."
Mt 12:45,1,Evangelia,"Tehdy jde,"
Mt 6:10,1,Evangelia,"Přiď Království tvé. Buď vůle tvá, jako v Nebi, tak i na zemi."
Mk 2:5,1,Evangelia,"A Ježíš vida víru jejich, řekl ochrnulému: „Synu, odpouštějí se tobě hříchové tvoji.“"
Z 51:3,1,Starý zákon,"Smiluj se nade mnou, Bože, podlé milosrdenství svého, podlé množství slitování svých shlaď přestoupení má."
Z 50:3,1,Starý zákon,"Smiluj se nade mnou, Bože, podle velkého milosrdenství svého, a podle množství svých slitování zahlaď nepravost mou."
Mt 28:19,1,Evangelia,"Jděte tedy, získávejte všecky národy za učedníky, křtěte je ve jméno Otce i Syna i Ducha svatého,"
J 2:4,1,Evangelia,I dí jí ježíš: Co mně o tobě jest ženo? ještě nepřišla hodina má.
Gn 13:8,1,Starý zákon,"Řekl tedy Abram k Lotovi: Prosím, nechť není sváru mezi mnou, a tebou, a mezi pastýři mými, a pastýři tvými: nebo bratří jsme."
1P 3:18,1,Nový zákon,"Nebo i Kristus jedinou za hříchy trpěl, spravedlivý za nespravedlivé, aby nás přivedl k Bohu, umrtven jsa z strany těla, ale obživen Duchem."
R 4:21,1,Nový zákon,"a nabyl pevného přesvědčení, že Bůh jest mocen i učiniti, co slíbil."
L 3:6,1,Evangelia,a uzři všeliké tělo spaní Boží.
J 13:1,1,Evangelia,"Před svátkem pak velikonočním, věda Ježíš, že přišla hodina jeho, aby šel z tohoto světa k Otci, milovav své, kteříž byli na světě, až do konce je miloval."
