,size,Group,Verse text
Ps 127:1,1,Starý zákon,"Píseň stupňů, Šalomounova. Nebude-li Hospodin stavěti domu, nadarmo usilují ti, kteříž stavějí jej; nebude-li Hospodin ostříhati města, nadarmo bdí strážný."
Luke 14:23,1,Evangelia,"Tedy řekl pán služebníku: Vyjdiž na cesty a mezi ploty, a přinuť vjíti, ať se naplní dům můj."
Mark 16:16,1,Evangelia,"Kdo uvěří a bude pokřtěn, bude spasen; kdo neuvěří, bude odsouzen."
Acts 13:44,1,Nový zákon,"Příští soboty se shromáždilo skoro celé město, aby slyšeli slovo Boží."
1John 3:14,1,Nový zákon,"My víme, že jsme přešli ze smrti do života, neboť milujeme bratry; kdo nemiluje, zůstává ve smrti."
1John 3:15,1,Nový zákon,"Každý, kdož nenávidí bratra svého, vražedlník jest, a víte, že žádný vražedlník nemá života věčného v sobě zůstávajícího."
Matt 6:23,1,Evangelia,"je-li však oko tvé špatné, celé tělo tvé bude tmavým. Jestliže tedy světlo, které jest v tobě, tmou jest, jak veliká bude tma sama?"
Exod 20:12/Deut 5:16/Eph 6:2,1,Desatero,"Cti otce svého i matku svou, jakož přikázal tobě Hospodin Bůh tvůj, aby se prodleli dnové tvoji, a aby tobě dobře bylo na zemi, kterouž Hospodin Bůh tvůj dá tobě."
John 1:14,1,Evangelia,"A Slovo Tělem učiněno jest, a přebývalo mezi námi: a viděli sme slávu jeho, slávu jakožto jednorozeného od Otce, plného milosti a pravdy."
Gen 3:19,1,Starý zákon,"V potu tváře jísti budeš chléb, dokud se nevrátíš do země, ze které jsi vzat. Ano, prach jsi, a v prach se navrátíš."
Matt 22:21,1,Evangelia,"Řkou jemu: „Císařův.“ Tu řekl jim: „Dávejte tedy, co jest císařovo, císaři, a co jest Božího, Bohu.“"
Eccl 3:1,1,Starý zákon,"Všecko má svůj čas, a svým vyměřeným během jdou všecky věci pod sluncem:"
John 1:45,1,Evangelia,"Filip nalezne Natanaela a řekne mu: „Nalezli jsme toho, o kterém psal Mojžíš v zákoně a proroci, - Ježíše, syna Jozefova z Nazareta.“"
Matt 7:21,1,Evangelia,"Ne každý, kdož mi říká: Pane, Pane, vejde do království nebeského, ale ten, kdož činí vůli Otce mého, kterýž v nebesích jest."
John 6:5,1,Evangelia,"Tedy Ježíš pozdvih oči a spatřiv, že zástup veliký jde k němu, pravil k Filipovi: „Odkud nakoupíme chlebů, aby pojedli tito?“"
Mark 13:31/Matt 24:35/Luke 21:33,1,Evangelia,Nebe a země pominou: ale slova má nepominou.
Prov 26:27,1,Starý zákon,"Kdo (jinému) jámu kopá, (sám) do ní padá, a kdo valí kámen, bude ním zavalen."
John 6:9,1,Evangelia,"Jestiť mládenček jeden zde, kterýž má pět chlebů ječných a dvě rybičky. Ale coť jest to mezi tak mnohé?"
2Kgs 22:3,1,Starý zákon,"Stalo se pak osmnáctého léta krále Joziáše, že poslal král Safana syna Azaliášova, syna Mesullamova, písaře, do domu Hospodinova, řka:"
Jas 1:22,1,Nový zákon,"Buďtež pak činitelé slova, a ne posluchači toliko, oklamávajíce sami sebe."
Matt 16:23,1,Evangelia,"Kterýžto obrátiv se, řekl Petrovi: Jdi za mnou, satane, ku pohoršení jsi mi; nebo nechápáš těch věcí, kteréž jsou Boží, ale kteréž jsou lidské."
1Cor 15:33,1,Nový zákon,Nedejte se klamati! »Špatná společnost kazí dobrý mrav«. 
Matt 27:25,1,Evangelia,"A odpověděv všecken lid, řekl: Krev jeho na nás, i na naše syny."
Jer 42:12,1,Starý zákon,"Nadto způsobím vám milost, aby se slitoval nad vámi, a dal se vám navrátiti do země vaší."
Matt 16:24,1,Evangelia,"Tehdy řekl Ježíš učedlníkům svým: Chce-li kdo za mnou přijíti, zapřiž sebe sám, a vezmi kříž svůj, a následúj mne."
Luke 13:7,1,Evangelia,"I řekl vinařovi: »Hle, již tři léta uplynula od té doby, co přicházím hledat ovoce na tomto fíku, ale nenalézám. Vysekni jej! Proč i tu zemi moří?«"
Luke 13:6,1,Evangelia,"Pověděl pak toto podobenství: „Kdosi měl fíkový strom štípený ve své vinici, i přišel hledat na něm ovoce, ale nenalezl."
Luke 13:8,1,Evangelia,"On pak odpovídaje dí jemu: Pane, ponechejž ho i tohoto léta, až-ť jej okopám, a ohnojím:"
Matt 13:29,1,Evangelia,"A on pravil: ,Ne, abyste snad trhajíce koukol, nevytrhali spolu s ním i pšenice."
Matt 13:24,1,Evangelia,"Jiné podobenství předložil jim řka: „Podobné jest království nebeské člověku, který nasel dobrého semene na poli svém;"
Matt 13:30,1,Evangelia,"Nechte ať obé spolu roste až do žně. A v čas žně dím žencům: Vytrhejte nejprv koukol a svažte jej v snopky k spálení, ale pšenici shromažďte do stodoly mé."
Luke 9:55,1,Evangelia,"Ale on obrátiv se, pokáral je řka: „Nevíte, čího ducha jste."
John 6:48,1,Evangelia,Jáť jsem Chléb života.
John 8:12,1,Evangelia,"Tu Ježíš mluvil k nim opět řka: „Já jsem světlo světa; kdo mě následuje, nebude choditi ve tmě, nýbrž bude míti světlo života.“"
John 11:25,1,Evangelia,"Řekl jí Ježíš: „Já jsem vzkříšení a život; kdo věří ve mne, byť i umřel, živ bude,"
Luke 11:23,1,Evangelia,"Kdo není se mnou, proti mně jest, a kdo neshromažďuje se mnou, rozptyluje."
