,size,Group,Verse text
Gen 3:5,1,6-10,"Ale ví Bůh, že v kterýkoli den z něho jísti budete, otevrou se oči vaše; a budete jako bohové, vědouce dobré i zlé."
John 14:6,1,21+,Ježíš řekl jemu: „Já jsem cesta a pravda a život; nikdo nepřichází k Otci leč jen skrze mne.
Acts 13:6,1,3-5,"A když zchodili ten ostrov až do Páfu, nalezli jakéhos čarodějníka, falešného proroka Žida, jemuž jméno Barjezus,"
Matt 19:17,1,6-10,"On pak řekl jemu: „Co se mě ptáš o dobrém? Jediný jest dobrý, (Bůh). Chceš-li však vejíti do života, zachovávej přikázání.“"
Isa 42:3,1,3-5,"Třtiny nalomené nedolomí, a lnu kouřícího se neuhasí, ale soud podlé pravdy vynášeti bude."
John 13:15,1,6-10,"Příklad zajisté dal sem vám, abyste jako sem já činil vám, i vy též činili."
Matt 16:13,1,3-5,"Přišed pak Ježíš do krajin Caesaree Filipovy, otázal se učeníků svých řka: „Kým praví lidé býti Syna člověka?“"
Exod 20:3/Deut 5:7,1,3-5,Nebudeš míti bohů jiných přede mnou.
Matt 6:24,1,11-15,"Nikdo nemůže dvěma pánům sloužiti; neboť buď bude jednoho nenáviděti a druhého milovati, aneb jednoho se přidrží a druhým pohrdne. Nemůžete Bohu sloužiti a mamoně."
Matt 7:14,1,3-5,"Jak těsná jest brána a úzká cesta, která vede k životu, a málo jest těch, kteří ji nalézají."
Matt 7:16,1,11-15,"po ovocích jejich poznáte je. Zdaliž zbírají z trní hrozny, aneb z bodláčí fíky?"
John 16:23,1,3-5,"A v ten den nebudete se mne tázati o ničemž. Amen, amen pravím vám: Budete-li zač prositi Otce ve jménu mém, dáť vám."
Prov 4:7,1,3-5,"Počátek moudrosti jest: „Získej si moudrost, a za vše jmění své zjednej si opatrnost!"""
Matt 7:1,1,11-15,"Nesuďtež, abyste nebyli souzeni."
Luke 22:48,1,3-5,"Ale Ježíš řekl jemu: „Jidáši, políbením zrazuješ Syna člověka?“"
Acts 26:2,1,3-5,"„Za šťastného se pokládám, králi Agrippo, že mohu dnes hájiti se před tebou proti všemu tomu, z čeho mě židé obvinují,"
John 16:8,1,3-5,"A on když přijde, trestati bude svět z hříchu, a z spravedlnosti, a z soudu."
1Tim 2:4,1,6-10,"Kterýž chce, aby všickni lidé spaseni byli, a k známosti pravdy přišli."
John 3:15,1,11-15,"Aby každý, kdož věří v něho, nezahynul, ale měl život věčný."
Rom 10:11,1,3-5,"Neboť písmo praví: „Žádný, kdo v něho věří, nebude zahanben.“ "
Rom 2:6,1,6-10,"Kterýž odplatí jednomu každému podlé skutků jeho,"
Luke 17:22,1,3-5,"I řekl ke svým učeníkům: „Přijdou dnové, kdy budete toužiti, abyste viděli jeden den Syna člověka, a neuvidíte."
John 19:11,1,3-5,"Ježíš odpověděl: „Neměl bys nade mnou pražádné moci, kdyby ti nebyla dána shůry. Proto větší vinu má ten, kdo ti mě vydal.“"
Isa 61:9,1,3-5,"I známo bude mezi pohany plémě jejich, potomstvo jejich uprostřed národů; všichni, kteří je uzří, poznají je: „Tito jsou plémě, jemuž Hospodin žehná!"""
Matt 6:13,1,21+,A neuvoď nás v pokušení. Ale zbav nás od zlého. Amen.
1Thess 5:9,1,3-5,"nebo nepostavil nás Bůh k hněvu, ale k nabytí spasení, skrze Pána našeho Ježíše Krista,"
