,verse,initial results,filtered stop-subverses,filtered multiple attributions,"""sure"" citations"
669,Gn 13:8,4,4,4,1
670,1P 3:18,13,13,12,0
671,R 4:21,75,9,9,0
672,L 17:9,15,0,0,0
673,Z 32:5,10,0,0,0
674,Jr 50:20,1,0,0,0
675,Pr 28:12,3,0,0,0
676,J 14:23,3,2,2,2
677,2Pa 7:6,2,2,1,0
678,1Pa 16:41,1,1,0,0
679,Z 148:1,1,1,1,0
680,Tob 8:7,2,0,0,0
681,Da 3:26,2,2,2,0
682,Da 3:52,2,2,0,0
683,Dt 3:22,27,2,1,0
684,2Te 3:5,2,2,2,0
685,L 3:6,4,4,4,4
686,Pr 8:13,2,0,0,0
687,Mt 4:5,1,1,1,0
688,L 4:11,2,2,1,0
689,1S 10:24,3,3,3,0
690,2S 16:18,3,3,3,0
691,Dt 7:6,4,4,1,0
692,L 16:29,2,2,2,0
693,L 16:31,13,1,0,0
694,J 21:14,6,6,4,0
695,Sk 10:41,6,6,0,0
696,Mt 13:26,1,1,0,0
697,Mt 28:6,38,1,0,0
698,Ef 5:2,3,3,2,0
699,Sk 8:12,14,0,0,0
700,Joz 19:47,9,1,1,0
701,Gn 8:9,1,1,1,0
702,Pis 2:2,1,1,1,0
703,Pis 4:7,2,2,2,0
704,Zj 12:1,2,2,2,0
705,Mt 9:18,4,3,3,0
706,Ex 23:20,14,0,0,0
707,1K 5:4,2,0,0,0
708,1K 6:11,1,0,0,0
709,2K 1:14,3,2,1,0
710,Ef 5:20,1,0,0,0
711,2Te 3:6,19,1,1,0
712,Iz 25:1,5,0,0,0
713,1Tm 4:16,20,0,0,0
714,Ez 20:6,1,1,1,0
715,Sk 25:24,1,0,0,0
716,Mt 26:7,28,1,1,0
717,Mk 10:9,7,7,7,7
718,Mt 19:6,5,5,0,0
719,1Kr 22:17,1,1,0,0
720,2Pa 18:16,1,1,1,0
721,Nu 27:17,1,1,0,0
722,Jud 11:15,2,1,0,0
723,Gn 3:5,9,9,7,0
724,J 14:6,35,35,30,0
725,Sk 13:6,3,3,3,0
726,Mt 12:33,1,1,1,0
727,Mt 19:17,10,10,7,0
728,1J 4:2,1,1,0,0
729,1J 4:3,2,2,2,2
730,Nu 31:36,4,0,0,0
731,Iz 42:3,4,4,3,0
732,Mt 12:20,4,4,2,0
733,Sk 3:6,16,8,7,0
734,Sd 8:3,7,0,0,0
735,J 13:15,7,7,7,0
736,Mt 16:13,3,3,3,0
737,L 4:41,17,17,0,0
738,Mt 16:16,16,16,12,0
739,Mt 16:15,1,1,1,1
740,Ef 5:9,20,0,0,0
741,Dt 5:7,3,3,0,0
742,Ex 20:3,3,3,0,0
743,Mt 6:24,21,21,14,1
744,Mt 7:14,3,3,3,1
745,Mt 7:13,4,4,3,3
746,Sk 16:14,34,1,1,0
747,2K 1:19,2,2,2,0
748,Z 27:1,2,1,1,0
749,Mt 7:16,12,12,11,0
750,1Ma 1:32,1,0,0,0
751,Oz 3:1,1,0,0,0
752,Zd 12:22,73,0,0,0
753,Sk 15:5,18,1,1,0
754,2Ma 2:22,74,0,0,0
755,J 16:23,7,7,3,0
756,J 9:35,3,3,1,0
757,Zd 7:21,12,0,0,0
758,Pr 4:7,6,6,3,0
759,Mt 7:1,12,12,11,11
760,Jk 5:9,15,15,3,0
761,L 22:48,4,4,4,0
762,Mt 23:21,1,0,0,0
763,Sk 26:2,4,3,3,0
764,L 6:16,4,2,2,0
765,J 7:46,3,2,2,0
766,J 16:8,5,5,5,0
767,1Tm 2:4,9,9,9,0
768,J 3:15,15,15,14,6
769,R 10:11,4,4,3,0
770,2Pa 6:30,2,2,0,0
771,R 2:6,7,7,6,6
