,size,Group,Verse text
John 13:15,1,3-5,"Příklad zajisté dal sem vám, abyste jako sem já činil vám, i vy též činili."
Matt 6:24,1,6-10,"Nikdo nemůže dvěma pánům sloužiti; neboť buď bude jednoho nenáviděti a druhého milovati, aneb jednoho se přidrží a druhým pohrdne. Nemůžete Bohu sloužiti a mamoně."
Matt 7:16,1,6-10,"po ovocích jejich poznáte je. Zdaliž zbírají z trní hrozny, aneb z bodláčí fíky?"
John 16:23,1,3-5,"A v ten den nebudete se mne tázati o ničemž. Amen, amen pravím vám: Budete-li zač prositi Otce ve jménu mém, dáť vám."
Luke 22:48,1,3-5,"Ale Ježíš řekl jemu: „Jidáši, políbením zrazuješ Syna člověka?“"
Acts 26:2,1,3-5,"„Za šťastného se pokládám, králi Agrippo, že mohu dnes hájiti se před tebou proti všemu tomu, z čeho mě židé obvinují,"
John 16:8,1,3-5,"A on když přijde, trestati bude svět z hříchu, a z spravedlnosti, a z soudu."
1Tim 2:4,1,6-10,"Kterýž chce, aby všickni lidé spaseni byli, a k známosti pravdy přišli."
John 3:15,1,11-15,"Aby každý, kdož věří v něho, nezahynul, ale měl život věčný."
Rom 10:11,1,3-5,"Neboť písmo praví: „Žádný, kdo v něho věří, nebude zahanben.“ "
Rom 2:6,1,3-5,"Kterýž odplatí jednomu každému podlé skutků jeho,"
John 19:11,1,3-5,"Ježíš odpověděl: „Neměl bys nade mnou pražádné moci, kdyby ti nebyla dána shůry. Proto větší vinu má ten, kdo ti mě vydal.“"
Matt 6:13,1,11-15,A neuvoď nás v pokušení. Ale zbav nás od zlého. Amen.
Luke 22:19,1,6-10,"A vzav chléb, učinil díky a rozlámav jej, dal jim řka: „Toto jest tělo mé, které se za vás vydává; to čiňte na mou památku.“"
Luke 6:19,1,3-5,"A všecken zástup hledal se ho dotknouti; nebo moc z něho vycházela, a uzdravovala všecky."
John 8:46,1,6-10,"Kdo z vás bude mne trestati z hříchu? Jestli pravdu pravím vám, proč mi nevěříte?"
Luke 13:21,1,3-5,"Podobno jest kvasu, který vzavši žena zadělala do tří měřic mouky, až zkynulo všecko.“"
Rev 3:20,1,3-5,"Aj stojím u dveří a tluku: jestliže kdo uslyší hlas můj, a otevře mi dvéře, vejdu-ť k němu: a budu-ť s ním večeřeti, a on se mnou."
Jer 2:13,1,3-5,"– praví Hospodin – neboť dvojí zlo spáchal můj národ: Mne opustili, pramen vody živé, a kopali sobě cisterny, cisterny rozpukané, které nemohou držeti vody."
Mark 10:48,1,11-15,"I domlouvali mu mnozí, aby mlčel, ale on mnohem hlasitěji volal: „Synu Davidův, smiluj se nade mnou.“"
Matt 19:19,1,16-20,cti otce svého i matku svou a milovati budeš bližního svého jako sebe samého.“
Exod 20:14/Deut 5:18,1,16-20,Nesesmilníš.
Luke 18:42,1,20+,A Ježíš řekl jemu: Prohlédni. Víra tvá tě uzdravila.
Acts 4:20,1,3-5,"nebť nemůžeme nemluviti toho, co sme viděli a slyšeli."
